product_id;product_label;product_price;product_total_sales;CA_product;z_score;is_premium
4596;Marc Colin Et Fils Chassagne-Montrachet Blanc Margot 2017;43.9;23;1009.6999999999999;0.4101635181988838;false
4600;Marc Colin Et Fils Chassagne-Montrachet Rouge Vieilles Vignes 2017;26.5;0;0.0;-0.2154988901374973;false
4616;Alphonse Mellot Sancerre Rouge La Demoiselle 2015;57.0;0;0.0;0.8812082049348949;false
4617;Alphonse Mellot Sancerre Rouge Génération XIX 2011;67.5;0;0.0;1.2587631065171938;false
4621;Bernard Baudry Chinon Rouge Les Grézeaux 2017;16.5;9;148.5;-0.5750749868825439;false
4633;Marcel Windholtz Eau de Vie de Mirabelle d'Alsace Réserve Particulière;52.4;3;157.2;0.7158032004321734;false
4636;Marcel Windholtz Eau de Vie de Framboise d'Alsace;50.0;1;50.0;0.6295049372133623;false
4686;Cosse Maisonneuve Cahors Solis 2018;14.0;2;28.0;-0.6649690110688056;false
4711;Albert Mann Riesling Grand Cru Schlossberg 2018;55.4;1;55.4;0.8236760294556874;false
4748;Jean-Paul Brun Saint-Amour 2017;14.5;0;0.0;-0.6469902062315532;false
